 13112 function calls (12920 primitive calls) in 0.811 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.045    0.045 frequencies.py:340(get_freq)
       16    0.000    0.000    0.001    0.000 frequencies.py:74(to_offset)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2320(_all_dispatcher)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2324(all)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:3033(_ndim_dispatcher)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:3037(ndim)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:436(_repeat_dispatcher)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:440(repeat)
        2    0.000    0.000    0.002    0.001 fromnumeric.py:55(_wrapfunc)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:73(_wrapreduction)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:833(_sort_dispatcher)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:837(sort)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:993(_argsort_dispatcher)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:997(argsort)
        1    0.000    0.000    0.000    0.000 function.py:348(validate_groupby_func)
        1    0.000    0.000    0.000    0.000 function.py:371(validate_resampler_func)
        2    0.000    0.000    0.000    0.000 function.py:388(validate_minmax_axis)
       13    0.000    0.000    0.000    0.000 function.py:42(__call__)
        1    0.000    0.000    0.000    0.000 function_base.py:1137(_diff_dispatcher)
        1    0.000    0.000    0.000    0.000 function_base.py:1141(diff)
     1074    0.001    0.000    0.001    0.000 generic.py:10(_check)
        1    0.000    0.000    0.000    0.000 generic.py:11341(logical_func)
        1    0.000    0.000    0.000    0.000 generic.py:1648(_get_data_to_aggregate)
        1    0.000    0.000    0.001    0.001 generic.py:1729(_wrap_agged_blocks)
       12    0.000    0.000    0.000    0.000 generic.py:190(__init__)
        1    0.000    0.000    0.000    0.000 generic.py:2012(_maybe_mangle_lambdas)
        5    0.000    0.000    0.000    0.000 generic.py:219(_init_mgr)
        7    0.000    0.000    0.000    0.000 generic.py:238(attrs)
        4    0.000    0.000    0.000    0.000 generic.py:255(_validate_dtype)
        2    0.000    0.000    0.054    0.027 generic.py:3300(take)
        1    0.000    0.000    0.000    0.000 generic.py:356(_construct_axes_from_arguments)
        1    0.000    0.000    0.000    0.000 generic.py:381(<dictcomp>)
        8    0.000    0.000    0.000    0.000 generic.py:396(_get_axis_number)
        5    0.000    0.000    0.000    0.000 generic.py:409(_get_axis_name)
        5    0.000    0.000    0.000    0.000 generic.py:422(_get_axis)
        3    0.000    0.000    0.000    0.000 generic.py:426(_get_block_manager_axis)
        1    0.000    0.000    0.001    0.001 generic.py:4299(reindex)
        2    0.000    0.000    0.000    0.000 generic.py:4529(<genexpr>)
        1    0.000    0.000    0.000    0.000 generic.py:4547(_reindex_axes)
        1    0.000    0.000    0.000    0.000 generic.py:4584(_reindex_with_indexers)
        7    0.000    0.000    0.000    0.000 generic.py:5235(__finalize__)
        6    0.000    0.000    0.000    0.000 generic.py:5257(__getattr__)
       10    0.000    0.000    0.000    0.000 generic.py:5276(__setattr__)
        5    0.000    0.000    0.000    0.000 generic.py:5331(_protect_consolidate)
        4    0.000    0.000    0.000    0.000 generic.py:5341(_consolidate_inplace)
        4    0.000    0.000    0.000    0.000 generic.py:5344(f)
        1    0.000    0.000    0.000    0.000 generic.py:5349(_consolidate)
        1    0.000    0.000    0.000    0.000 generic.py:5367(<lambda>)
        1    0.000    0.000    0.001    0.001 generic.py:5826(_convert)
        1    0.000    0.000    0.000    0.000 generic.py:7264(isna)
        1    0.000    0.000    0.065    0.065 generic.py:7824(resample)
        1    0.000    0.000    0.016    0.016 generic.py:899(aggregate)
        1    0.000    0.000    0.016    0.016 generic.py:990(_cython_agg_general)
        1    0.000    0.000    0.015    0.015 generic.py:998(_cython_agg_blocks)
        1    0.000    0.000    0.016    0.016 groupby.py:1180(mean)
        1    0.000    0.000    0.000    0.000 groupby.py:2438(_reindex_output)
        1    0.000    0.000    0.000    0.000 groupby.py:362(__init__)
        1    0.000    0.000    0.000    0.000 groupby.py:509(_selected_obj)
        1    0.000    0.000    0.000    0.000 groupby.py:574(__getattr__)
        1    0.000    0.000    0.000    0.000 grouper.py:103(__init__)
        3    0.000    0.000    0.000    0.000 grouper.py:116(ax)
        2    0.004    0.002    0.065    0.033 grouper.py:144(_set_grouper)
        1    0.000    0.000    0.000    0.000 grouper.py:243(__init__)
        1    0.000    0.000    0.000    0.000 grouper.py:426(get_grouper)
        1    0.000    0.000    0.000    0.000 grouper.py:647(_convert_grouper)
        1    0.000    0.000    0.000    0.000 grouper.py:96(__new__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:318(__getitem__)
        2    0.003    0.001    0.003    0.001 indexers.py:173(maybe_convert_indices)
        1    0.000    0.000    0.000    0.000 indexers.py:255(deprecate_ndim_indexing)
        1    0.000    0.000    0.000    0.000 indexers.py:278(check_array_indexer)
        1    0.000    0.000    0.000    0.000 inference.py:130(is_file_like)
        5    0.000    0.000    0.000    0.000 inference.py:220(is_array_like)
        6    0.000    0.000    0.000    0.000 inference.py:299(is_dict_like)
       19    0.000    0.000    0.000    0.000 inference.py:325(<genexpr>)
       50    0.000    0.000    0.000    0.000 inference.py:358(is_hashable)
        8    0.000    0.000    0.000    0.000 inference.py:96(is_iterator)
        6    0.000    0.000    0.001    0.000 managers.py:122(__init__)
        3    0.000    0.000    0.045    0.015 managers.py:1224(reindex_indexer)
        2    0.000    0.000    0.044    0.022 managers.py:1259(<listcomp>)
        1    0.000    0.000    0.000    0.000 managers.py:1274(_slice_take_blocks_ax0)
        6    0.000    0.000    0.000    0.000 managers.py:128(<listcomp>)
        2    0.001    0.001    0.053    0.027 managers.py:1373(take)
        4    0.000    0.000    0.000    0.000 managers.py:1467(__init__)
        8    0.000    0.000    0.000    0.000 managers.py:1520(_block)
        1    0.000    0.000    0.000    0.000 managers.py:1544(index)
        2    0.000    0.000    0.000    0.000 managers.py:1548(dtype)
        1    0.000    0.000    0.000    0.000 managers.py:1562(external_values)
        5    0.000    0.000    0.000    0.000 managers.py:1565(internal_values)
        1    0.000    0.000    0.000    0.000 managers.py:1576(is_consolidated)
        1    0.000    0.000    0.000    0.000 managers.py:1582(_consolidate_inplace)
       22    0.000    0.000    0.000    0.000 managers.py:163(shape)
       65    0.000    0.000    0.000    0.000 managers.py:165(<genexpr>)
        1    0.000    0.000    0.017    0.017 managers.py:1667(create_block_manager_from_arrays)
       16    0.000    0.000    0.000    0.000 managers.py:167(ndim)
        1    0.000    0.000    0.016    0.016 managers.py:1700(form_blocks)
        1    0.000    0.000    0.008    0.008 managers.py:1797(_simple_blockify)
        2    0.000    0.000    0.008    0.004 managers.py:1811(_multi_blockify)
        4    0.000    0.000    0.000    0.000 managers.py:1815(<lambda>)
        3    0.010    0.003    0.016    0.005 managers.py:1828(_stack_arrays)
        6    0.000    0.000    0.000    0.000 managers.py:1831(_asarray_compat)
        3    0.000    0.000    0.000    0.000 managers.py:1837(_shape_compat)
        1    0.000    0.000    0.000    0.000 managers.py:1875(_consolidate)
        4    0.000    0.000    0.000    0.000 managers.py:1881(<lambda>)
        1    0.000    0.000    0.000    0.000 managers.py:1970(_preprocess_slice_or_indexer)
        1    0.000    0.000    0.000    0.000 managers.py:199(_is_single_block)
        7    0.000    0.000    0.000    0.000 managers.py:212(_rebuild_blknos_and_blklocs)
        6    0.000    0.000    0.000    0.000 managers.py:232(items)
        4    0.000    0.000    0.000    0.000 managers.py:329(_verify_integrity)
       15    0.000    0.000    0.000    0.000 managers.py:331(<genexpr>)
        1    0.000    0.000    0.001    0.001 managers.py:368(apply)
        1    0.000    0.000    0.000    0.000 managers.py:419(<dictcomp>)
        1    0.000    0.000    0.001    0.001 managers.py:584(convert)
       11    0.000    0.000    0.000    0.000 managers.py:647(is_consolidated)
        6    0.000    0.000    0.000    0.000 managers.py:655(_consolidate_check)
        6    0.000    0.000    0.000    0.000 managers.py:656(<listcomp>)
        1    0.000    0.000    0.001    0.001 managers.py:708(get_numeric_data)
        1    0.000    0.000    0.000    0.000 managers.py:716(<listcomp>)
        1    0.000    0.000    0.001    0.001 managers.py:718(combine)
        1    0.000    0.000    0.000    0.000 managers.py:724(<listcomp>)
        5    0.000    0.000    0.000    0.000 managers.py:927(consolidate)
        7    0.000    0.000    0.000    0.000 managers.py:943(_consolidate_inplace)
       10    0.000    0.000    0.000    0.000 missing.py:132(_isna_new)
        3    0.000    0.000    0.000    0.000 missing.py:225(_isna_ndarraylike)
        1    0.000    0.000    0.000    0.000 missing.py:307(notna)
        2    0.000    0.000    0.000    0.000 missing.py:393(_isna_compat)
        3    0.000    0.000    0.000    0.000 missing.py:410(array_equivalent)
       10    0.000    0.000    0.000    0.000 missing.py:49(isna)
        2    0.000    0.000    0.000    0.000 missing.py:529(_maybe_fill)
        2    0.000    0.000    0.000    0.000 missing.py:601(clean_reindex_fill_method)
        2    0.000    0.000    0.000    0.000 missing.py:73(clean_fill_method)
        2    0.000    0.000    0.000    0.000 multiarray.py:1043(copyto)
       12    0.000    0.000    0.000    0.000 multiarray.py:145(concatenate)
        2    0.000    0.000    0.000    0.000 multiarray.py:584(min_scalar_type)
        2    0.000    0.000    0.000    0.000 multiarray.py:635(result_type)
        2    0.000    0.000    0.000    0.000 multiarray.py:77(empty_like)
        1    0.000    0.000    0.000    0.000 nanops.py:166(_get_fill_value)
        1    0.000    0.000    0.000    0.000 nanops.py:189(_maybe_get_mask)
        1    0.000    0.000    0.000    0.000 nanops.py:234(_get_values)
